district_id,district_name,year,housing_units,source_id
neulindenau,Neulindenau,2022,4394,leipzig_housing_stock
leutzsch,Leutzsch,2022,6410,leipzig_housing_stock
boehlitz_ehrenberg,Böhlitz-Ehrenberg,2022,5493,leipzig_housing_stock
burghausen_rueckmarsdorf,Burghausen-Rückmarsdorf,2022,2501,leipzig_housing_stock
moeckern,Möckern,2022,9488,leipzig_housing_stock
wahren,Wahren,2022,4224,leipzig_housing_stock
luetzschena_stahmeln,Lützschena-Stahmeln,2022,2159,leipzig_housing_stock
lindenthal,Lindenthal,2022,3637,leipzig_housing_stock
gohlis_sued,Gohlis-Süd,2022,11035,leipzig_housing_stock
gohlis_mitte,Gohlis-Mitte,2022,10014,leipzig_housing_stock
gohlis_nord,Gohlis-Nord,2022,5981,leipzig_housing_stock
eutritzsch,Eutritzsch,2022,8756,leipzig_housing_stock
seehausen,Seehausen,2022,1396,leipzig_housing_stock
wiederitzsch,Wiederitzsch,2022,4536,leipzig_housing_stock
zentrum,Zentrum,2023,2190,leipzig_housing_stock
zentrum_ost,Zentrum-Ost,2023,4371,leipzig_housing_stock
zentrum_suedost,Zentrum-Südost,2023,7630,leipzig_housing_stock
zentrum_sued,Zentrum-Süd,2023,8637,leipzig_housing_stock
zentrum_west,Zentrum-West,2023,6668,leipzig_housing_stock
zentrum_nordwest,Zentrum-Nordwest,2023,6119,leipzig_housing_stock
zentrum_nord,Zentrum-Nord,2023,5997,leipzig_housing_stock
schoenefeld_abtnaundorf,Schönefeld-Abtnaundorf,2023,7283,leipzig_housing_stock
schoenefeld_ost,Schönefeld-Ost,2023,6249,leipzig_housing_stock
mockau_sued,Mockau-Süd,2023,2899,leipzig_housing_stock
mockau_nord,Mockau-Nord,2023,6835,leipzig_housing_stock
thekla,Thekla,2023,3312,leipzig_housing_stock
plaussig_portitz,Plaußig-Portitz,2023,1491,leipzig_housing_stock
neustadt_neuschoenefeld,Neustadt-Neuschönefeld,2023,7605,leipzig_housing_stock
volkmarsdorf,Volkmarsdorf,2023,7131,leipzig_housing_stock
anger_crottendorf,Anger-Crottendorf,2023,7109,leipzig_housing_stock
sellerhausen_stuenz,Sellerhausen-Stünz,2023,5606,leipzig_housing_stock
paunsdorf,Paunsdorf,2023,8725,leipzig_housing_stock
heiterblick,Heiterblick,2023,2233,leipzig_housing_stock
moelkau,Mölkau,2023,3155,leipzig_housing_stock
engelsdorf,Engelsdorf,2023,4927,leipzig_housing_stock
baalsdorf,Baalsdorf,2023,829,leipzig_housing_stock
althen_kleinpoesna,Althen-Kleinpösna,2023,960,leipzig_housing_stock
reudnitz_thonberg,Reudnitz-Thonberg,2023,13240,leipzig_housing_stock
stoetteritz,Stötteritz,2023,9903,leipzig_housing_stock
probstheida,Probstheida,2023,3911,leipzig_housing_stock
meusdorf,Meusdorf,2023,1894,leipzig_housing_stock
liebertwolkwitz,Liebertwolkwitz,2023,2990,leipzig_housing_stock
holzhausen,Holzhausen,2023,3514,leipzig_housing_stock
suedvorstadt,Südvorstadt,2023,14428,leipzig_housing_stock
connewitz,Connewitz,2023,11678,leipzig_housing_stock
marienbrunn,Marienbrunn,2023,3240,leipzig_housing_stock
loessnig,Lößnig,2023,5906,leipzig_housing_stock
doelitz_doesen,Dölitz-Dösen,2023,2434,leipzig_housing_stock
schleussig,Schleußig,2023,6493,leipzig_housing_stock
plagwitz,Plagwitz,2023,9018,leipzig_housing_stock
kleinzschocher,Kleinzschocher,2023,6452,leipzig_housing_stock
grosszschocher,Großzschocher,2023,5563,leipzig_housing_stock
knautkleeberg_knauthain,Knautkleeberg-Knauthain,2023,2806,leipzig_housing_stock
hartmannsdorf_knautnaundorf,Hartmannsdorf-Knautnaundorf,2023,642,leipzig_housing_stock
schoenau,Schönau,2023,3233,leipzig_housing_stock
gruenau_ost,Grünau-Ost,2023,4473,leipzig_housing_stock
gruenau_mitte,Grünau-Mitte,2023,7608,leipzig_housing_stock
gruenau_siedlung,Grünau-Siedlung,2023,1923,leipzig_housing_stock
lausen_gruenau,Lausen-Grünau,2023,8574,leipzig_housing_stock
gruenau_nord,Grünau-Nord,2023,5377,leipzig_housing_stock
miltitz,Miltitz,2023,1080,leipzig_housing_stock
lindenau,Lindenau,2023,4871,leipzig_housing_stock
altlindenau,Altlindenau,2023,10838,leipzig_housing_stock
neulindenau,Neulindenau,2023,4470,leipzig_housing_stock
leutzsch,Leutzsch,2023,6433,leipzig_housing_stock
boehlitz_ehrenberg,Böhlitz-Ehrenberg,2023,5495,leipzig_housing_stock
burghausen_rueckmarsdorf,Burghausen-Rückmarsdorf,2023,2508,leipzig_housing_stock
moeckern,Möckern,2023,9750,leipzig_housing_stock
wahren,Wahren,2023,4320,leipzig_housing_stock
luetzschena_stahmeln,Lützschena-Stahmeln,2023,2167,leipzig_housing_stock
lindenthal,Lindenthal,2023,3656,leipzig_housing_stock
gohlis_sued,Gohlis-Süd,2023,11074,leipzig_housing_stock
gohlis_mitte,Gohlis-Mitte,2023,10035,leipzig_housing_stock
gohlis_nord,Gohlis-Nord,2023,5986,leipzig_housing_stock
eutritzsch,Eutritzsch,2023,8912,leipzig_housing_stock
seehausen,Seehausen,2023,1435,leipzig_housing_stock
wiederitzsch,Wiederitzsch,2023,4547,leipzig_housing_stock
zentrum,Zentrum,2024,2186,leipzig_housing_stock
zentrum_ost,Zentrum-Ost,2024,4426,leipzig_housing_stock
zentrum_suedost,Zentrum-Südost,2024,7631,leipzig_housing_stock
zentrum_sued,Zentrum-Süd,2024,8887,leipzig_housing_stock
zentrum_west,Zentrum-West,2024,6687,leipzig_housing_stock
zentrum_nordwest,Zentrum-Nordwest,2024,6228,leipzig_housing_stock
zentrum_nord,Zentrum-Nord,2024,6501,leipzig_housing_stock
schoenefeld_abtnaundorf,Schönefeld-Abtnaundorf,2024,7296,leipzig_housing_stock
schoenefeld_ost,Schönefeld-Ost,2024,6261,leipzig_housing_stock
mockau_sued,Mockau-Süd,2024,2984,leipzig_housing_stock
mockau_nord,Mockau-Nord,2024,6841,leipzig_housing_stock
thekla,Thekla,2024,3320,leipzig_housing_stock
plaussig_portitz,Plaußig-Portitz,2024,1543,leipzig_housing_stock
neustadt_neuschoenefeld,Neustadt-Neuschönefeld,2024,7627,leipzig_housing_stock
volkmarsdorf,Volkmarsdorf,2024,7146,leipzig_housing_stock
anger_crottendorf,Anger-Crottendorf,2024,7306,leipzig_housing_stock
sellerhausen_stuenz,Sellerhausen-Stünz,2024,5602,leipzig_housing_stock
paunsdorf,Paunsdorf,2024,8725,leipzig_housing_stock
heiterblick,Heiterblick,2024,2255,leipzig_housing_stock
moelkau,Mölkau,2024,3162,leipzig_housing_stock
engelsdorf,Engelsdorf,2024,4934,leipzig_housing_stock
baalsdorf,Baalsdorf,2024,830,leipzig_housing_stock
althen_kleinpoesna,Althen-Kleinpösna,2024,970,leipzig_housing_stock
reudnitz_thonberg,Reudnitz-Thonberg,2024,13324,leipzig_housing_stock
stoetteritz,Stötteritz,2024,9922,leipzig_housing_stock
probstheida,Probstheida,2024,3935,leipzig_housing_stock
meusdorf,Meusdorf,2024,2073,leipzig_housing_stock
liebertwolkwitz,Liebertwolkwitz,2024,2997,leipzig_housing_stock
holzhausen,Holzhausen,2024,3534,leipzig_housing_stock
suedvorstadt,Südvorstadt,2024,14447,leipzig_housing_stock
connewitz,Connewitz,2024,11680,leipzig_housing_stock
marienbrunn,Marienbrunn,2024,3241,leipzig_housing_stock
loessnig,Lößnig,2024,5906,leipzig_housing_stock
doelitz_doesen,Dölitz-Dösen,2024,2445,leipzig_housing_stock
schleussig,Schleußig,2024,6492,leipzig_housing_stock
plagwitz,Plagwitz,2024,9026,leipzig_housing_stock
kleinzschocher,Kleinzschocher,2024,6465,leipzig_housing_stock
grosszschocher,Großzschocher,2024,5568,leipzig_housing_stock
knautkleeberg_knauthain,Knautkleeberg-Knauthain,2024,2821,leipzig_housing_stock
hartmannsdorf_knautnaundorf,Hartmannsdorf-Knautnaundorf,2024,647,leipzig_housing_stock
schoenau,Schönau,2024,3239,leipzig_housing_stock
gruenau_ost,Grünau-Ost,2024,4473,leipzig_housing_stock
gruenau_mitte,Grünau-Mitte,2024,7608,leipzig_housing_stock
gruenau_siedlung,Grünau-Siedlung,2024,1924,leipzig_housing_stock
lausen_gruenau,Lausen-Grünau,2024,8570,leipzig_housing_stock
gruenau_nord,Grünau-Nord,2024,5377,leipzig_housing_stock
miltitz,Miltitz,2024,1080,leipzig_housing_stock
lindenau,Lindenau,2024,5216,leipzig_housing_stock
altlindenau,Altlindenau,2024,10861,leipzig_housing_stock
neulindenau,Neulindenau,2024,4668,leipzig_housing_stock
leutzsch,Leutzsch,2024,6542,leipzig_housing_stock
boehlitz_ehrenberg,Böhlitz-Ehrenberg,2024,5514,leipzig_housing_stock
burghausen_rueckmarsdorf,Burghausen-Rückmarsdorf,2024,2515,leipzig_housing_stock
moeckern,Möckern,2024,9799,leipzig_housing_stock
wahren,Wahren,2024,4330,leipzig_housing_stock
luetzschena_stahmeln,Lützschena-Stahmeln,2024,2175,leipzig_housing_stock
lindenthal,Lindenthal,2024,3753,leipzig_housing_stock
gohlis_sued,Gohlis-Süd,2024,11097,leipzig_housing_stock
gohlis_mitte,Gohlis-Mitte,2024,10048,leipzig_housing_stock
gohlis_nord,Gohlis-Nord,2024,5986,leipzig_housing_stock
eutritzsch,Eutritzsch,2024,8877,leipzig_housing_stock
seehausen,Seehausen,2024,1473,leipzig_housing_stock
wiederitzsch,Wiederitzsch,2024,4568,leipzig_housing_stock
