observation_id,district_id,group_id,income_scenario_id,year,offer_rent_per_sqm,flat_size_sqm,utilities_eur,warm_rent_eur,monthly_income_eur,housing_stress_score,affordability_status,rent_source_id,income_source_id
affordability_kleinzschocher_students_bafog_only_2026,kleinzschocher,students,bafog_only,2026,9.9,30,120,417.0,992,0.42,critical,wohnungsboerse_2026,bafoeg_2024
affordability_kleinzschocher_students_bafog_plus_minijob_2026,kleinzschocher,students,bafog_plus_minijob,2026,9.9,30,120,417.0,1595,0.261,affordable,wohnungsboerse_2026,bafoeg_2024_minijob_2026
affordability_knautkleeberg_knauthain_students_bafog_only_2026,knautkleeberg_knauthain,students,bafog_only,2026,9.28,30,120,398.4,992,0.402,critical,wohnungsboerse_2026,bafoeg_2024
affordability_knautkleeberg_knauthain_students_bafog_plus_minijob_2026,knautkleeberg_knauthain,students,bafog_plus_minijob,2026,9.28,30,120,398.4,1595,0.25,affordable,wohnungsboerse_2026,bafoeg_2024_minijob_2026
affordability_lausen_gruenau_students_bafog_only_2026,lausen_gruenau,students,bafog_only,2026,8.76,30,120,382.8,992,0.386,critical,wohnungsboerse_2026,bafoeg_2024
affordability_lausen_gruenau_students_bafog_plus_minijob_2026,lausen_gruenau,students,bafog_plus_minijob,2026,8.76,30,120,382.8,1595,0.24,affordable,wohnungsboerse_2026,bafoeg_2024_minijob_2026
affordability_leutzsch_students_bafog_only_2026,leutzsch,students,bafog_only,2026,10.41,30,120,432.3,992,0.436,critical,wohnungsboerse_2026,bafoeg_2024
affordability_leutzsch_students_bafog_plus_minijob_2026,leutzsch,students,bafog_plus_minijob,2026,10.41,30,120,432.3,1595,0.271,affordable,wohnungsboerse_2026,bafoeg_2024_minijob_2026
affordability_liebertwolkwitz_students_bafog_only_2026,liebertwolkwitz,students,bafog_only,2026,9.43,30,120,402.9,992,0.406,critical,wohnungsboerse_2026,bafoeg_2024
affordability_liebertwolkwitz_students_bafog_plus_minijob_2026,liebertwolkwitz,students,bafog_plus_minijob,2026,9.43,30,120,402.9,1595,0.253,affordable,wohnungsboerse_2026,bafoeg_2024_minijob_2026
affordability_lindenau_students_bafog_only_2026,lindenau,students,bafog_only,2026,10.09,30,120,422.7,992,0.426,critical,wohnungsboerse_2026,bafoeg_2024
affordability_lindenau_students_bafog_plus_minijob_2026,lindenau,students,bafog_plus_minijob,2026,10.09,30,120,422.7,1595,0.265,affordable,wohnungsboerse_2026,bafoeg_2024_minijob_2026
affordability_lindenthal_students_bafog_only_2026,lindenthal,students,bafog_only,2026,9.54,30,120,406.2,992,0.409,critical,wohnungsboerse_2026,bafoeg_2024
affordability_lindenthal_students_bafog_plus_minijob_2026,lindenthal,students,bafog_plus_minijob,2026,9.54,30,120,406.2,1595,0.255,affordable,wohnungsboerse_2026,bafoeg_2024_minijob_2026
affordability_loessnig_students_bafog_only_2026,loessnig,students,bafog_only,2026,8.53,30,120,375.9,992,0.379,critical,wohnungsboerse_2026,bafoeg_2024
affordability_loessnig_students_bafog_plus_minijob_2026,loessnig,students,bafog_plus_minijob,2026,8.53,30,120,375.9,1595,0.236,affordable,wohnungsboerse_2026,bafoeg_2024_minijob_2026
affordability_luetzschena_stahmeln_students_bafog_only_2026,luetzschena_stahmeln,students,bafog_only,2026,8.54,30,120,376.2,992,0.379,critical,wohnungsboerse_2026,bafoeg_2024
affordability_luetzschena_stahmeln_students_bafog_plus_minijob_2026,luetzschena_stahmeln,students,bafog_plus_minijob,2026,8.54,30,120,376.2,1595,0.236,affordable,wohnungsboerse_2026,bafoeg_2024_minijob_2026
affordability_marienbrunn_students_bafog_only_2026,marienbrunn,students,bafog_only,2026,10.04,30,120,421.2,992,0.425,critical,wohnungsboerse_2026,bafoeg_2024
affordability_marienbrunn_students_bafog_plus_minijob_2026,marienbrunn,students,bafog_plus_minijob,2026,10.04,30,120,421.2,1595,0.264,affordable,wohnungsboerse_2026,bafoeg_2024_minijob_2026
affordability_meusdorf_students_bafog_only_2026,meusdorf,students,bafog_only,2026,10.39,30,120,431.7,992,0.435,critical,wohnungsboerse_2026,bafoeg_2024
affordability_meusdorf_students_bafog_plus_minijob_2026,meusdorf,students,bafog_plus_minijob,2026,10.39,30,120,431.7,1595,0.271,affordable,wohnungsboerse_2026,bafoeg_2024_minijob_2026
affordability_miltitz_students_bafog_only_2026,miltitz,students,bafog_only,2026,10.14,30,120,424.2,992,0.428,critical,wohnungsboerse_2026,bafoeg_2024
affordability_miltitz_students_bafog_plus_minijob_2026,miltitz,students,bafog_plus_minijob,2026,10.14,30,120,424.2,1595,0.266,affordable,wohnungsboerse_2026,bafoeg_2024_minijob_2026
affordability_mockau_nord_students_bafog_only_2026,mockau_nord,students,bafog_only,2026,9.23,30,120,396.9,992,0.4,critical,wohnungsboerse_2026,bafoeg_2024
affordability_mockau_nord_students_bafog_plus_minijob_2026,mockau_nord,students,bafog_plus_minijob,2026,9.23,30,120,396.9,1595,0.249,affordable,wohnungsboerse_2026,bafoeg_2024_minijob_2026
