"Gebiet","Sachmerkmal","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
Knautkleeberg-Knauthain,Einwohnerdichte,"677","681","661","660","658","657,5931731","661,4219543","663,0970461","663,6882071","665,247850365845","675","683","688,014054953655","684,894353972003","697,124659743097","701,443449581464","673,58943577431","704,441776710684","711,284513805522","711,5246098","717,5270108","720,4943467"
Hartmannsdorf-Knautnaundorf,Einwohnerdichte,"77","76","77","78","79","78,35303558","79,1094607","79,55070869","83,08301429","84,7244720206705","85","88","83,5200156667641","85,7926691542951","83,8357311098982","85,2877053685787","81,5025252525252","83,9646464646465","84,0277777777778","85,03787879","84,97474747","86,65175436"
Schönau,Einwohnerdichte,"1539","1573","1576","1586","1578","1559,811285","1520,058417","1485,844884","1371,436544","1343,12259574913","1398","1448","1480,70177297538","1511,61752427926","1541,23662979331","1597,8614552967","1686,64495114007","1790,87947882736","1848,85993485342","1867,42671","1893,811075","1869,773802"
Grünau-Ost,Einwohnerdichte,"8787","8628","7949","7484","7226","7051,229922","6934,272888","6863,002196","7091,853074","7119,46265060679","7180","7331","7349,45838775693","7477,02670692266","7432,28260044376","7404,67453135027","7241,90476190476","7311,42857142857","7430,47619047619","7389,52381","7483,809524","7564,719038"
Grünau-Mitte,Einwohnerdichte,"10707","10546","10505","10154","10053","9899,021471","9757,46661","9679,734171","9671,346143","9635,78378028609","9861","10037","10645,4607450696","10792,5510772593","10919,4367648466","10946,9151787319","10854,0322580645","10904,8387096774","11144,3548387097","11000","11375,80645","11324,3732"
Grünau-Siedlung,Einwohnerdichte,"2752","2670","2569","2510","2493","2465,379806","2458,451044","2462,230369","2474,832365","2417,16021510191","2421","2438","2441,0921590808","2444,89448331613","2472,77810637344","2446,16183767337","2425,3164556962","2412,6582278481","2440,50632911392","2441,139241","2451,898734","2441,693181"
Lausen-Grünau,Einwohnerdichte,"3701","3673","3514","3342","3240","3158,600331","3118,933564","3088,111414","3126,042767","3202,0155941719","3245","3286","3413,9788736995","3446,38418161137","3454,08721936993","3491,27363975687","3536,17021276596","3637,23404255319","3861,17021276596","3857,978723","3883,244681","3910,012413"
Grünau-Nord,Einwohnerdichte,"10192","9750","8969","8715","8607","8465,175591","8296,122528","8284,643616","8479,305841","8493,00593742156","8492","8618","9173,10994655644","9106,7221318944","9185,75530905848","9379,64988022594","9367,36842105263","9540","9878,94736842105","10027,36842","9852,631579","9789,150992"
Miltitz,Einwohnerdichte,"683","691","690","667","665","655,4459615","651,804595","639,2253291","622,6861615","622,358086641458","628","619","637,065985060737","641,002541096128","640,01839806138","639,034259058722","632,236842105263","621,710526315789","620,723684210526","621,0526316","613,1578947","603,2951467"
Lindenau,Einwohnerdichte,"5932","6039","5662","5694","5741","5894,003199","6126,191204","6405,015261","6827,798858","7235,35279357642","7518","8047","8276,9904826382","8366,54216668328","8509,66975061652","8573,69807908766","8738,77551020408","8774,48979591837","9004,08163265306","9029,591837","9054,081633","9044,994361"
Altlindenau,Einwohnerdichte,"5583","5561","5558","5434","5445","5456,525004","5545,446152","5714,779248","5924,681707","6219,32087979173","6633","6929","7190,79813544741","7317,12920640811","7508,01569988096","7732,9749717875","7814,70588235294","7878,1512605042","8076,89075630252","8114,285714","8073,94958","8144,798113"
Neulindenau,Einwohnerdichte,"2135","2160","2151","2177","2221","2270,038402","2266,805881","2308,424598","2377,400486","2467,09860126561","2592","2697","2734,88209532876","2832,18463547003","2826,97912202319","2856,20992597612","2828,8","2831,6","2919,6","3217,6","3383,6","3424,0829"
Leutzsch,Einwohnerdichte,"1958","1966","1907","1891","1920","1952,530335","1965,566353","1990,97554","2059,090631","2100,2240511011","2164","2229","2267,97849217333","2297,23279723192","2310,0030658943","2315,94194256342","2296,7032967033","2333,84615384615","2400","2415,824176","2445,714286","2543,099823"
Böhlitz-Ehrenberg,Einwohnerdichte,"1130","1134","1144","1140","1151","1154,853746","1152,189055","1156,707443","1157,482604","1169,25126693982","1173","1179","1178,82767216995","1185,74973718563","1176,73422610259","1180,42521759791","1174,07834101382","1173,73271889401","1186,17511520737","1186,175115","1185,023041","1173,745666"
Burghausen-Rückmarsdorf,Einwohnerdichte,"686","683","681","675","673","670,7926869","674,171286","668,9626124","673,6112346","677,966176936127","683","679","674,490106587967","672,382764034579","676,638001824062","676,356947617697","669,522471910112","671,629213483146","672,752808988764","675","676,2640449","682,5952447"
Möckern,Einwohnerdichte,"2641","2612","2622","2616","2646","2631,569561","2629,471355","2646,886462","2660,404991","2737,78063105481","2788","2881","2989,81915030714","3100,11876243218","3212,17596605848","3332,97469064534","3420,82474226804","3499,79381443299","3613,60824742268","3735,051546","3694,639175","3704,857768"
Wahren,Einwohnerdichte,"1356","1332","1304","1306","1297","1312,07031","1302,751013","1308,602665","1380,32538","1453,6696198009","1490","1502","1553,37862549029","1567,47422056067","1579,58761275403","1578,486394396","1596,25550660793","1615,63876651982","1645,81497797357","1659,251101","1714,096916","1706,453761"
Lützschena-Stahmeln,Einwohnerdichte,"230","232","228","245","225","241,8041819","239,6685218","236,2277361","236,6863255","235,736254912379","234","236","234,409940228802","240,762995853038","246,166060312172","249,312900928802","249,970326409496","251,750741839763","256,854599406528","255,2522255","256,0830861","252,9165452"
Lindenthal,Einwohnerdichte,"464","456","456","457","463","476,2296037","484,3449369","485,98361","491,7809742","495,056914042236","498","506","514,075103341653","518,28691574955","520,860794075207","522,576717625619","519,095869056898","526,110678098207","530,553390491037","528,3710055","532,0342946","541,5406057"
